region,region_abbrev,period,period_start,period_mid,stratum_abbrev,protestant_dummy
Britain,EB,1500-1524,1500,1512.5,EB-1500-1524,0.0
Britain,EB,1525-1549,1525,1537.5,EB-1525-1549,1.0
Britain,EB,1550-1574,1550,1562.5,EB-1550-1574,1.0
Britain,EB,1575-1599,1575,1587.5,EB-1575-1599,1.0
Britain,EB,1600-1624,1600,1612.5,EB-1600-1624,1.0
Britain,EB,1625-1649,1625,1637.5,EB-1625-1649,1.0
Britain,EB,1650-1674,1650,1662.5,EB-1650-1674,1.0
Britain,EB,1675-1699,1675,1687.5,EB-1675-1699,1.0
Britain,EB,1700-1724,1700,1712.5,EB-1700-1724,1.0
Britain,EB,1725-1749,1725,1737.5,EB-1725-1749,1.0
Britain,EB,1750-1774,1750,1762.5,EB-1750-1774,1.0
Britain,EB,1775-1799,1775,1787.5,EB-1775-1799,1.0
Britain,EB,1800-1824,1800,1812.5,EB-1800-1824,1.0
Britain,EB,1825-1849,1825,1837.5,EB-1825-1849,1.0
Britain,EB,1850-1874,1850,1862.5,EB-1850-1874,1.0
Britain,EB,1875-1899,1875,1887.5,EB-1875-1899,
France,FR,1500-1524,1500,1512.5,FR-1500-1524,0.0
France,FR,1525-1549,1525,1537.5,FR-1525-1549,0.0
France,FR,1550-1574,1550,1562.5,FR-1550-1574,0.0
France,FR,1575-1599,1575,1587.5,FR-1575-1599,0.0
France,FR,1600-1624,1600,1612.5,FR-1600-1624,0.0
France,FR,1625-1649,1625,1637.5,FR-1625-1649,0.0
France,FR,1650-1674,1650,1662.5,FR-1650-1674,0.0
France,FR,1675-1699,1675,1687.5,FR-1675-1699,0.0
France,FR,1700-1724,1700,1712.5,FR-1700-1724,0.0
France,FR,1725-1749,1725,1737.5,FR-1725-1749,0.0
France,FR,1750-1774,1750,1762.5,FR-1750-1774,0.0
France,FR,1775-1799,1775,1787.5,FR-1775-1799,0.0
France,FR,1800-1824,1800,1812.5,FR-1800-1824,0.0
France,FR,1825-1849,1825,1837.5,FR-1825-1849,0.0
France,FR,1850-1874,1850,1862.5,FR-1850-1874,0.0
France,FR,1875-1899,1875,1887.5,FR-1875-1899,
Spain,ES,1500-1524,1500,1512.5,ES-1500-1524,0.0
Spain,ES,1525-1549,1525,1537.5,ES-1525-1549,0.0
Spain,ES,1550-1574,1550,1562.5,ES-1550-1574,0.0
Spain,ES,1575-1599,1575,1587.5,ES-1575-1599,0.0
Spain,ES,1600-1624,1600,1612.5,ES-1600-1624,0.0
Spain,ES,1625-1649,1625,1637.5,ES-1625-1649,0.0
Spain,ES,1650-1674,1650,1662.5,ES-1650-1674,0.0
Spain,ES,1675-1699,1675,1687.5,ES-1675-1699,0.0
Spain,ES,1700-1724,1700,1712.5,ES-1700-1724,0.0
Spain,ES,1725-1749,1725,1737.5,ES-1725-1749,0.0
Spain,ES,1750-1774,1750,1762.5,ES-1750-1774,0.0
Spain,ES,1775-1799,1775,1787.5,ES-1775-1799,0.0
Spain,ES,1800-1824,1800,1812.5,ES-1800-1824,0.0
Spain,ES,1825-1849,1825,1837.5,ES-1825-1849,0.0
Spain,ES,1850-1874,1850,1862.5,ES-1850-1874,0.0
Spain,ES,1875-1899,1875,1887.5,ES-1875-1899,
Italy,IT,1500-1524,1500,1512.5,IT-1500-1524,0.0
Italy,IT,1525-1549,1525,1537.5,IT-1525-1549,0.0
Italy,IT,1550-1574,1550,1562.5,IT-1550-1574,0.0
Italy,IT,1575-1599,1575,1587.5,IT-1575-1599,0.0
Italy,IT,1600-1624,1600,1612.5,IT-1600-1624,0.0
Italy,IT,1625-1649,1625,1637.5,IT-1625-1649,0.0
Italy,IT,1650-1674,1650,1662.5,IT-1650-1674,0.0
Italy,IT,1675-1699,1675,1687.5,IT-1675-1699,0.0
Italy,IT,1700-1724,1700,1712.5,IT-1700-1724,0.0
Italy,IT,1725-1749,1725,1737.5,IT-1725-1749,0.0
Italy,IT,1750-1774,1750,1762.5,IT-1750-1774,0.0
Italy,IT,1775-1799,1775,1787.5,IT-1775-1799,0.0
Italy,IT,1800-1824,1800,1812.5,IT-1800-1824,0.0
Italy,IT,1825-1849,1825,1837.5,IT-1825-1849,0.0
Italy,IT,1850-1874,1850,1862.5,IT-1850-1874,0.0
Italy,IT,1875-1899,1875,1887.5,IT-1875-1899,
Germany,DE,1500-1524,1500,1512.5,DE-1500-1524,0.0
Germany,DE,1525-1549,1525,1537.5,DE-1525-1549,0.0
Germany,DE,1550-1574,1550,1562.5,DE-1550-1574,0.0
Germany,DE,1575-1599,1575,1587.5,DE-1575-1599,0.0
Germany,DE,1600-1624,1600,1612.5,DE-1600-1624,0.0
Germany,DE,1625-1649,1625,1637.5,DE-1625-1649,0.0
Germany,DE,1650-1674,1650,1662.5,DE-1650-1674,0.0
Germany,DE,1675-1699,1675,1687.5,DE-1675-1699,0.0
Germany,DE,1700-1724,1700,1712.5,DE-1700-1724,0.0
Germany,DE,1725-1749,1725,1737.5,DE-1725-1749,0.0
Germany,DE,1750-1774,1750,1762.5,DE-1750-1774,0.0
Germany,DE,1775-1799,1775,1787.5,DE-1775-1799,0.0
Germany,DE,1800-1824,1800,1812.5,DE-1800-1824,0.0
Germany,DE,1825-1849,1825,1837.5,DE-1825-1849,0.0
Germany,DE,1850-1874,1850,1862.5,DE-1850-1874,0.0
Germany,DE,1875-1899,1875,1887.5,DE-1875-1899,
Austria,AT,1500-1524,1500,1512.5,AT-1500-1524,
Austria,AT,1525-1549,1525,1537.5,AT-1525-1549,
Austria,AT,1550-1574,1550,1562.5,AT-1550-1574,
Austria,AT,1575-1599,1575,1587.5,AT-1575-1599,
Austria,AT,1600-1624,1600,1612.5,AT-1600-1624,
Austria,AT,1625-1649,1625,1637.5,AT-1625-1649,
Austria,AT,1650-1674,1650,1662.5,AT-1650-1674,
Austria,AT,1675-1699,1675,1687.5,AT-1675-1699,
Austria,AT,1700-1724,1700,1712.5,AT-1700-1724,
Austria,AT,1725-1749,1725,1737.5,AT-1725-1749,
Austria,AT,1750-1774,1750,1762.5,AT-1750-1774,
Austria,AT,1775-1799,1775,1787.5,AT-1775-1799,
Austria,AT,1800-1824,1800,1812.5,AT-1800-1824,
Austria,AT,1825-1849,1825,1837.5,AT-1825-1849,
Austria,AT,1850-1874,1850,1862.5,AT-1850-1874,
Austria,AT,1875-1899,1875,1887.5,AT-1875-1899,
Switzerland,CH,1500-1524,1500,1512.5,CH-1500-1524,
Switzerland,CH,1525-1549,1525,1537.5,CH-1525-1549,
Switzerland,CH,1550-1574,1550,1562.5,CH-1550-1574,
Switzerland,CH,1575-1599,1575,1587.5,CH-1575-1599,
Switzerland,CH,1600-1624,1600,1612.5,CH-1600-1624,
Switzerland,CH,1625-1649,1625,1637.5,CH-1625-1649,
Switzerland,CH,1650-1674,1650,1662.5,CH-1650-1674,
Switzerland,CH,1675-1699,1675,1687.5,CH-1675-1699,
Switzerland,CH,1700-1724,1700,1712.5,CH-1700-1724,
Switzerland,CH,1725-1749,1725,1737.5,CH-1725-1749,
Switzerland,CH,1750-1774,1750,1762.5,CH-1750-1774,
Switzerland,CH,1775-1799,1775,1787.5,CH-1775-1799,
Switzerland,CH,1800-1824,1800,1812.5,CH-1800-1824,
Switzerland,CH,1825-1849,1825,1837.5,CH-1825-1849,
Switzerland,CH,1850-1874,1850,1862.5,CH-1850-1874,
Switzerland,CH,1875-1899,1875,1887.5,CH-1875-1899,
Netherlands,NL,1500-1524,1500,1512.5,NL-1500-1524,0.0
Netherlands,NL,1525-1549,1525,1537.5,NL-1525-1549,0.0
Netherlands,NL,1550-1574,1550,1562.5,NL-1550-1574,0.0
Netherlands,NL,1575-1599,1575,1587.5,NL-1575-1599,1.0
Netherlands,NL,1600-1624,1600,1612.5,NL-1600-1624,1.0
Netherlands,NL,1625-1649,1625,1637.5,NL-1625-1649,1.0
Netherlands,NL,1650-1674,1650,1662.5,NL-1650-1674,1.0
Netherlands,NL,1675-1699,1675,1687.5,NL-1675-1699,1.0
Netherlands,NL,1700-1724,1700,1712.5,NL-1700-1724,1.0
Netherlands,NL,1725-1749,1725,1737.5,NL-1725-1749,1.0
Netherlands,NL,1750-1774,1750,1762.5,NL-1750-1774,1.0
Netherlands,NL,1775-1799,1775,1787.5,NL-1775-1799,1.0
Netherlands,NL,1800-1824,1800,1812.5,NL-1800-1824,0.0
Netherlands,NL,1825-1849,1825,1837.5,NL-1825-1849,0.0
Netherlands,NL,1850-1874,1850,1862.5,NL-1850-1874,0.0
Netherlands,NL,1875-1899,1875,1887.5,NL-1875-1899,
Belgium,BE,1500-1524,1500,1512.5,BE-1500-1524,
Belgium,BE,1525-1549,1525,1537.5,BE-1525-1549,
Belgium,BE,1550-1574,1550,1562.5,BE-1550-1574,
